       value	     chindex	     chlabel	        bini	           binlabel	ERPset
     113.281	          65	          P1	           1	  negativeLargeDark	vp13
     132.813	          65	          P1	           2	  negativeSmallDark	vp13
     148.438	          65	          P1	           3	negativeLargeBright	vp13
     148.438	          65	          P1	           4	negativeSmallBright	vp13
     121.094	          65	          P1	           5	   neutralLargeDark	vp13
     148.438	          65	          P1	           6	   neutralSmallDark	vp13
     140.625	          65	          P1	           7	 neutralLargeBright	vp13
     148.438	          65	          P1	           8	 neutralSmallBright	vp13
      93.750	          65	          P1	           1	  negativeLargeDark	vp14
     109.375	          65	          P1	           2	  negativeSmallDark	vp14
     121.094	          65	          P1	           3	negativeLargeBright	vp14
     113.281	          65	          P1	           4	negativeSmallBright	vp14
      93.750	          65	          P1	           5	   neutralLargeDark	vp14
     117.188	          65	          P1	           6	   neutralSmallDark	vp14
     105.469	          65	          P1	           7	 neutralLargeBright	vp14
     144.531	          65	          P1	           8	 neutralSmallBright	vp14
      89.844	          65	          P1	           1	  negativeLargeDark	vp15
     101.563	          65	          P1	           2	  negativeSmallDark	vp15
     128.906	          65	          P1	           3	negativeLargeBright	vp15
     128.906	          65	          P1	           4	negativeSmallBright	vp15
      97.656	          65	          P1	           5	   neutralLargeDark	vp15
     109.375	          65	          P1	           6	   neutralSmallDark	vp15
     128.906	          65	          P1	           7	 neutralLargeBright	vp15
      89.844	          65	          P1	           8	 neutralSmallBright	vp15
      93.750	          65	          P1	           1	  negativeLargeDark	vp16
     117.188	          65	          P1	           2	  negativeSmallDark	vp16
     140.625	          65	          P1	           3	negativeLargeBright	vp16
      74.219	          65	          P1	           4	negativeSmallBright	vp16
     113.281	          65	          P1	           5	   neutralLargeDark	vp16
     117.188	          65	          P1	           6	   neutralSmallDark	vp16
     140.625	          65	          P1	           7	 neutralLargeBright	vp16
     105.469	          65	          P1	           8	 neutralSmallBright	vp16
      93.750	          65	          P1	           1	  negativeLargeDark	vp17
     128.906	          65	          P1	           2	  negativeSmallDark	vp17
     136.719	          65	          P1	           3	negativeLargeBright	vp17
     136.719	          65	          P1	           4	negativeSmallBright	vp17
      89.844	          65	          P1	           5	   neutralLargeDark	vp17
     128.906	          65	          P1	           6	   neutralSmallDark	vp17
     136.719	          65	          P1	           7	 neutralLargeBright	vp17
     140.625	          65	          P1	           8	 neutralSmallBright	vp17
      89.844	          65	          P1	           1	  negativeLargeDark	vp18
     117.188	          65	          P1	           2	  negativeSmallDark	vp18
     132.813	          65	          P1	           3	negativeLargeBright	vp18
     148.438	          65	          P1	           4	negativeSmallBright	vp18
     113.281	          65	          P1	           5	   neutralLargeDark	vp18
     117.188	          65	          P1	           6	   neutralSmallDark	vp18
     132.813	          65	          P1	           7	 neutralLargeBright	vp18
     140.625	          65	          P1	           8	 neutralSmallBright	vp18
      93.750	          65	          P1	           1	  negativeLargeDark	vp19
     101.563	          65	          P1	           2	  negativeSmallDark	vp19
     144.531	          65	          P1	           3	negativeLargeBright	vp19
      85.938	          65	          P1	           4	negativeSmallBright	vp19
      85.938	          65	          P1	           5	   neutralLargeDark	vp19
     125.000	          65	          P1	           6	   neutralSmallDark	vp19
     140.625	          65	          P1	           7	 neutralLargeBright	vp19
      85.938	          65	          P1	           8	 neutralSmallBright	vp19
     117.188	          65	          P1	           1	  negativeLargeDark	vp20
     121.094	          65	          P1	           2	  negativeSmallDark	vp20
     144.531	          65	          P1	           3	negativeLargeBright	vp20
      70.313	          65	          P1	           4	negativeSmallBright	vp20
     144.531	          65	          P1	           5	   neutralLargeDark	vp20
     117.188	          65	          P1	           6	   neutralSmallDark	vp20
      70.313	          65	          P1	           7	 neutralLargeBright	vp20
     136.719	          65	          P1	           8	 neutralSmallBright	vp20
      89.844	          65	          P1	           1	  negativeLargeDark	vp21
     105.469	          65	          P1	           2	  negativeSmallDark	vp21
      82.031	          65	          P1	           3	negativeLargeBright	vp21
     144.531	          65	          P1	           4	negativeSmallBright	vp21
     101.563	          65	          P1	           5	   neutralLargeDark	vp21
      93.750	          65	          P1	           6	   neutralSmallDark	vp21
      78.125	          65	          P1	           7	 neutralLargeBright	vp21
     125.000	          65	          P1	           8	 neutralSmallBright	vp21
      93.750	          65	          P1	           1	  negativeLargeDark	vp22
     117.188	          65	          P1	           2	  negativeSmallDark	vp22
     128.906	          65	          P1	           3	negativeLargeBright	vp22
     101.563	          65	          P1	           4	negativeSmallBright	vp22
      85.938	          65	          P1	           5	   neutralLargeDark	vp22
     121.094	          65	          P1	           6	   neutralSmallDark	vp22
     128.906	          65	          P1	           7	 neutralLargeBright	vp22
      85.938	          65	          P1	           8	 neutralSmallBright	vp22
      85.938	          65	          P1	           1	  negativeLargeDark	vp23
      89.844	          65	          P1	           2	  negativeSmallDark	vp23
     128.906	          65	          P1	           3	negativeLargeBright	vp23
      89.844	          65	          P1	           4	negativeSmallBright	vp23
      82.031	          65	          P1	           5	   neutralLargeDark	vp23
      85.938	          65	          P1	           6	   neutralSmallDark	vp23
     128.906	          65	          P1	           7	 neutralLargeBright	vp23
     128.906	          65	          P1	           8	 neutralSmallBright	vp23
     121.094	          65	          P1	           1	  negativeLargeDark	vp24
     125.000	          65	          P1	           2	  negativeSmallDark	vp24
     148.438	          65	          P1	           3	negativeLargeBright	vp24
      82.031	          65	          P1	           4	negativeSmallBright	vp24
     121.094	          65	          P1	           5	   neutralLargeDark	vp24
     121.094	          65	          P1	           6	   neutralSmallDark	vp24
     148.438	          65	          P1	           7	 neutralLargeBright	vp24
      89.844	          65	          P1	           8	 neutralSmallBright	vp24
     109.375	          65	          P1	           1	  negativeLargeDark	vp25
     117.188	          65	          P1	           2	  negativeSmallDark	vp25
     128.906	          65	          P1	           3	negativeLargeBright	vp25
     136.719	          65	          P1	           4	negativeSmallBright	vp25
     109.375	          65	          P1	           5	   neutralLargeDark	vp25
     121.094	          65	          P1	           6	   neutralSmallDark	vp25
     128.906	          65	          P1	           7	 neutralLargeBright	vp25
      78.125	          65	          P1	           8	 neutralSmallBright	vp25
     117.188	          65	          P1	           1	  negativeLargeDark	vp26
      70.313	          65	          P1	           2	  negativeSmallDark	vp26
      66.406	          65	          P1	           3	negativeLargeBright	vp26
      89.844	          65	          P1	           4	negativeSmallBright	vp26
      82.031	          65	          P1	           5	   neutralLargeDark	vp26
      89.844	          65	          P1	           6	   neutralSmallDark	vp26
     109.375	          65	          P1	           7	 neutralLargeBright	vp26
     148.438	          65	          P1	           8	 neutralSmallBright	vp26
     113.281	          65	          P1	           1	  negativeLargeDark	vp27
     136.719	          65	          P1	           2	  negativeSmallDark	vp27
     144.531	          65	          P1	           3	negativeLargeBright	vp27
     148.438	          65	          P1	           4	negativeSmallBright	vp27
     109.375	          65	          P1	           5	   neutralLargeDark	vp27
     132.813	          65	          P1	           6	   neutralSmallDark	vp27
     140.625	          65	          P1	           7	 neutralLargeBright	vp27
      85.938	          65	          P1	           8	 neutralSmallBright	vp27
     113.281	          65	          P1	           1	  negativeLargeDark	vp28
     128.906	          65	          P1	           2	  negativeSmallDark	vp28
     148.438	          65	          P1	           3	negativeLargeBright	vp28
     148.438	          65	          P1	           4	negativeSmallBright	vp28
     113.281	          65	          P1	           5	   neutralLargeDark	vp28
     125.000	          65	          P1	           6	   neutralSmallDark	vp28
     132.813	          65	          P1	           7	 neutralLargeBright	vp28
     105.469	          65	          P1	           8	 neutralSmallBright	vp28
     109.375	          65	          P1	           1	  negativeLargeDark	vp29
     117.188	          65	          P1	           2	  negativeSmallDark	vp29
      82.031	          65	          P1	           3	negativeLargeBright	vp29
      66.406	          65	          P1	           4	negativeSmallBright	vp29
     109.375	          65	          P1	           5	   neutralLargeDark	vp29
     105.469	          65	          P1	           6	   neutralSmallDark	vp29
     132.813	          65	          P1	           7	 neutralLargeBright	vp29
     113.281	          65	          P1	           8	 neutralSmallBright	vp29
      97.656	          65	          P1	           1	  negativeLargeDark	vp31
     105.469	          65	          P1	           2	  negativeSmallDark	vp31
     117.188	          65	          P1	           3	negativeLargeBright	vp31
     121.094	          65	          P1	           4	negativeSmallBright	vp31
      93.750	          65	          P1	           5	   neutralLargeDark	vp31
     109.375	          65	          P1	           6	   neutralSmallDark	vp31
     113.281	          65	          P1	           7	 neutralLargeBright	vp31
     125.000	          65	          P1	           8	 neutralSmallBright	vp31
      70.313	          65	          P1	           1	  negativeLargeDark	vp33
     148.438	          65	          P1	           2	  negativeSmallDark	vp33
     121.094	          65	          P1	           3	negativeLargeBright	vp33
     144.531	          65	          P1	           4	negativeSmallBright	vp33
     117.188	          65	          P1	           5	   neutralLargeDark	vp33
      93.750	          65	          P1	           6	   neutralSmallDark	vp33
      70.313	          65	          P1	           7	 neutralLargeBright	vp33
     105.469	          65	          P1	           8	 neutralSmallBright	vp33
     113.281	          65	          P1	           1	  negativeLargeDark	vp34
     125.000	          65	          P1	           2	  negativeSmallDark	vp34
     144.531	          65	          P1	           3	negativeLargeBright	vp34
     140.625	          65	          P1	           4	negativeSmallBright	vp34
     113.281	          65	          P1	           5	   neutralLargeDark	vp34
     125.000	          65	          P1	           6	   neutralSmallDark	vp34
     140.625	          65	          P1	           7	 neutralLargeBright	vp34
      66.406	          65	          P1	           8	 neutralSmallBright	vp34
     109.375	          65	          P1	           1	  negativeLargeDark	vp35
     136.719	          65	          P1	           2	  negativeSmallDark	vp35
      97.656	          65	          P1	           3	negativeLargeBright	vp35
     128.906	          65	          P1	           4	negativeSmallBright	vp35
     121.094	          65	          P1	           5	   neutralLargeDark	vp35
      97.656	          65	          P1	           6	   neutralSmallDark	vp35
      97.656	          65	          P1	           7	 neutralLargeBright	vp35
      82.031	          65	          P1	           8	 neutralSmallBright	vp35
     105.469	          65	          P1	           1	  negativeLargeDark	vp36
     105.469	          65	          P1	           2	  negativeSmallDark	vp36
     140.625	          65	          P1	           3	negativeLargeBright	vp36
     109.375	          65	          P1	           4	negativeSmallBright	vp36
     105.469	          65	          P1	           5	   neutralLargeDark	vp36
     101.563	          65	          P1	           6	   neutralSmallDark	vp36
     140.625	          65	          P1	           7	 neutralLargeBright	vp36
      78.125	          65	          P1	           8	 neutralSmallBright	vp36
     113.281	          65	          P1	           1	  negativeLargeDark	vp37
     113.281	          65	          P1	           2	  negativeSmallDark	vp37
     125.000	          65	          P1	           3	negativeLargeBright	vp37
     121.094	          65	          P1	           4	negativeSmallBright	vp37
