       value	     chindex	     chlabel	        bini	           binlabel	ERPset
     222.656	          66	          N1	           2	  negativeSmallDark	vp09
     242.188	          66	          N1	           3	negativeLargeBright	vp09
     218.750	          66	          N1	           4	negativeSmallBright	vp09
     218.750	          66	          N1	           5	   neutralLargeDark	vp09
     226.563	          66	          N1	           6	   neutralSmallDark	vp09
     238.281	          66	          N1	           7	 neutralLargeBright	vp09
     218.750	          66	          N1	           8	 neutralSmallBright	vp09
     160.156	          66	          N1	           1	  negativeLargeDark	vp10
     226.563	          66	          N1	           2	  negativeSmallDark	vp10
     226.563	          66	          N1	           3	negativeLargeBright	vp10
     191.406	          66	          N1	           4	negativeSmallBright	vp10
     199.219	          66	          N1	           5	   neutralLargeDark	vp10
     175.781	          66	          N1	           6	   neutralSmallDark	vp10
     195.313	          66	          N1	           7	 neutralLargeBright	vp10
     195.313	          66	          N1	           8	 neutralSmallBright	vp10
     207.031	          66	          N1	           1	  negativeLargeDark	vp11
     222.656	          66	          N1	           2	  negativeSmallDark	vp11
     230.469	          66	          N1	           3	negativeLargeBright	vp11
     250.000	          66	          N1	           4	negativeSmallBright	vp11
     207.031	          66	          N1	           5	   neutralLargeDark	vp11
     218.750	          66	          N1	           6	   neutralSmallDark	vp11
     226.563	          66	          N1	           7	 neutralLargeBright	vp11
     203.125	          66	          N1	           8	 neutralSmallBright	vp11
     156.250	          66	          N1	           1	  negativeLargeDark	vp12
     164.063	          66	          N1	           2	  negativeSmallDark	vp12
     175.781	          66	          N1	           3	negativeLargeBright	vp12
     253.906	          66	          N1	           4	negativeSmallBright	vp12
     152.344	          66	          N1	           5	   neutralLargeDark	vp12
     160.156	          66	          N1	           6	   neutralSmallDark	vp12
     171.875	          66	          N1	           7	 neutralLargeBright	vp12
     238.281	          66	          N1	           8	 neutralSmallBright	vp12
     222.656	          66	          N1	           1	  negativeLargeDark	vp13
     218.750	          66	          N1	           2	  negativeSmallDark	vp13
     207.031	          66	          N1	           3	negativeLargeBright	vp13
     214.844	          66	          N1	           4	negativeSmallBright	vp13
     226.563	          66	          N1	           5	   neutralLargeDark	vp13
     214.844	          66	          N1	           6	   neutralSmallDark	vp13
     214.844	          66	          N1	           7	 neutralLargeBright	vp13
     218.750	          66	          N1	           8	 neutralSmallBright	vp13
     214.844	          66	          N1	           1	  negativeLargeDark	vp14
     222.656	          66	          N1	           2	  negativeSmallDark	vp14
     234.375	          66	          N1	           3	negativeLargeBright	vp14
     218.750	          66	          N1	           4	negativeSmallBright	vp14
     199.219	          66	          N1	           5	   neutralLargeDark	vp14
     238.281	          66	          N1	           6	   neutralSmallDark	vp14
     246.094	          66	          N1	           7	 neutralLargeBright	vp14
     222.656	          66	          N1	           8	 neutralSmallBright	vp14
     207.031	          66	          N1	           1	  negativeLargeDark	vp15
     214.844	          66	          N1	           2	  negativeSmallDark	vp15
     234.375	          66	          N1	           3	negativeLargeBright	vp15
     187.500	          66	          N1	           4	negativeSmallBright	vp15
     195.313	          66	          N1	           5	   neutralLargeDark	vp15
     222.656	          66	          N1	           6	   neutralSmallDark	vp15
     214.844	          66	          N1	           7	 neutralLargeBright	vp15
     207.031	          66	          N1	           8	 neutralSmallBright	vp15
     171.875	          66	          N1	           1	  negativeLargeDark	vp16
     175.781	          66	          N1	           2	  negativeSmallDark	vp16
     218.750	          66	          N1	           3	negativeLargeBright	vp16
     257.813	          66	          N1	           4	negativeSmallBright	vp16
     175.781	          66	          N1	           5	   neutralLargeDark	vp16
     167.969	          66	          N1	           6	   neutralSmallDark	vp16
     210.938	          66	          N1	           7	 neutralLargeBright	vp16
     203.125	          66	          N1	           8	 neutralSmallBright	vp16
     167.969	          66	          N1	           1	  negativeLargeDark	vp17
     175.781	          66	          N1	           2	  negativeSmallDark	vp17
     191.406	          66	          N1	           3	negativeLargeBright	vp17
     195.313	          66	          N1	           4	negativeSmallBright	vp17
     164.063	          66	          N1	           5	   neutralLargeDark	vp17
     164.063	          66	          N1	           6	   neutralSmallDark	vp17
     195.313	          66	          N1	           7	 neutralLargeBright	vp17
     179.688	          66	          N1	           8	 neutralSmallBright	vp17
     148.438	          66	          N1	           1	  negativeLargeDark	vp18
     160.156	          66	          N1	           2	  negativeSmallDark	vp18
     187.500	          66	          N1	           3	negativeLargeBright	vp18
     230.469	          66	          N1	           4	negativeSmallBright	vp18
     152.344	          66	          N1	           5	   neutralLargeDark	vp18
     160.156	          66	          N1	           6	   neutralSmallDark	vp18
     187.500	          66	          N1	           7	 neutralLargeBright	vp18
     226.563	          66	          N1	           8	 neutralSmallBright	vp18
     222.656	          66	          N1	           1	  negativeLargeDark	vp19
     199.219	          66	          N1	           2	  negativeSmallDark	vp19
     218.750	          66	          N1	           3	negativeLargeBright	vp19
     253.906	          66	          N1	           4	negativeSmallBright	vp19
     214.844	          66	          N1	           5	   neutralLargeDark	vp19
     195.313	          66	          N1	           6	   neutralSmallDark	vp19
     207.031	          66	          N1	           7	 neutralLargeBright	vp19
     257.813	          66	          N1	           8	 neutralSmallBright	vp19
     218.750	          66	          N1	           1	  negativeLargeDark	vp20
     218.750	          66	          N1	           2	  negativeSmallDark	vp20
     257.813	          66	          N1	           3	negativeLargeBright	vp20
     207.031	          66	          N1	           4	negativeSmallBright	vp20
     210.938	          66	          N1	           5	   neutralLargeDark	vp20
     234.375	          66	          N1	           6	   neutralSmallDark	vp20
     195.313	          66	          N1	           7	 neutralLargeBright	vp20
     187.500	          66	          N1	           8	 neutralSmallBright	vp20
     187.500	          66	          N1	           1	  negativeLargeDark	vp21
     242.188	          66	          N1	           2	  negativeSmallDark	vp21
     187.500	          66	          N1	           3	negativeLargeBright	vp21
     187.500	          66	          N1	           4	negativeSmallBright	vp21
     218.750	          66	          N1	           5	   neutralLargeDark	vp21
     230.469	          66	          N1	           6	   neutralSmallDark	vp21
     222.656	          66	          N1	           7	 neutralLargeBright	vp21
     257.813	          66	          N1	           8	 neutralSmallBright	vp21
     167.969	          66	          N1	           1	  negativeLargeDark	vp22
     175.781	          66	          N1	           2	  negativeSmallDark	vp22
     179.688	          66	          N1	           3	negativeLargeBright	vp22
     179.688	          66	          N1	           4	negativeSmallBright	vp22
     175.781	          66	          N1	           5	   neutralLargeDark	vp22
     226.563	          66	          N1	           6	   neutralSmallDark	vp22
     179.688	          66	          N1	           7	 neutralLargeBright	vp22
     199.219	          66	          N1	           8	 neutralSmallBright	vp22
     175.781	          66	          N1	           1	  negativeLargeDark	vp23
     164.063	          66	          N1	           2	  negativeSmallDark	vp23
     175.781	          66	          N1	           3	negativeLargeBright	vp23
     148.438	          66	          N1	           4	negativeSmallBright	vp23
     250.000	          66	          N1	           5	   neutralLargeDark	vp23
     167.969	          66	          N1	           6	   neutralSmallDark	vp23
     167.969	          66	          N1	           7	 neutralLargeBright	vp23
     238.281	          66	          N1	           8	 neutralSmallBright	vp23
     203.125	          66	          N1	           1	  negativeLargeDark	vp24
     203.125	          66	          N1	           2	  negativeSmallDark	vp24
     230.469	          66	          N1	           3	negativeLargeBright	vp24
     218.750	          66	          N1	           4	negativeSmallBright	vp24
     199.219	          66	          N1	           5	   neutralLargeDark	vp24
     226.563	          66	          N1	           6	   neutralSmallDark	vp24
     234.375	          66	          N1	           7	 neutralLargeBright	vp24
     238.281	          66	          N1	           8	 neutralSmallBright	vp24
     160.156	          66	          N1	           1	  negativeLargeDark	vp25
     191.406	          66	          N1	           2	  negativeSmallDark	vp25
     175.781	          66	          N1	           3	negativeLargeBright	vp25
     179.688	          66	          N1	           4	negativeSmallBright	vp25
     164.063	          66	          N1	           5	   neutralLargeDark	vp25
     222.656	          66	          N1	           6	   neutralSmallDark	vp25
     175.781	          66	          N1	           7	 neutralLargeBright	vp25
     261.719	          66	          N1	           8	 neutralSmallBright	vp25
     207.031	          66	          N1	           1	  negativeLargeDark	vp26
     183.594	          66	          N1	           2	  negativeSmallDark	vp26
     238.281	          66	          N1	           3	negativeLargeBright	vp26
     175.781	          66	          N1	           4	negativeSmallBright	vp26
     191.406	          66	          N1	           5	   neutralLargeDark	vp26
     210.938	          66	          N1	           6	   neutralSmallDark	vp26
     222.656	          66	          N1	           7	 neutralLargeBright	vp26
     230.469	          66	          N1	           8	 neutralSmallBright	vp26
     183.594	          66	          N1	           1	  negativeLargeDark	vp27
     214.844	          66	          N1	           2	  negativeSmallDark	vp27
     238.281	          66	          N1	           3	negativeLargeBright	vp27
     261.719	          66	          N1	           4	negativeSmallBright	vp27
     203.125	          66	          N1	           5	   neutralLargeDark	vp27
     203.125	          66	          N1	           6	   neutralSmallDark	vp27
     222.656	          66	          N1	           7	 neutralLargeBright	vp27
     175.781	          66	          N1	           8	 neutralSmallBright	vp27
     199.219	          66	          N1	           1	  negativeLargeDark	vp28
     210.938	          66	          N1	           2	  negativeSmallDark	vp28
     253.906	          66	          N1	           3	negativeLargeBright	vp28
     203.125	          66	          N1	           4	negativeSmallBright	vp28
     203.125	          66	          N1	           5	   neutralLargeDark	vp28
     210.938	          66	          N1	           6	   neutralSmallDark	vp28
     234.375	          66	          N1	           7	 neutralLargeBright	vp28
     203.125	          66	          N1	           8	 neutralSmallBright	vp28
     148.438	          66	          N1	           1	  negativeLargeDark	vp29
     207.031	          66	          N1	           2	  negativeSmallDark	vp29
     175.781	          66	          N1	           3	negativeLargeBright	vp29
     261.719	          66	          N1	           4	negativeSmallBright	vp29
     148.438	          66	          N1	           5	   neutralLargeDark	vp29
     210.938	          66	          N1	           6	   neutralSmallDark	vp29
     179.688	          66	          N1	           7	 neutralLargeBright	vp29
     261.719	          66	          N1	           8	 neutralSmallBright	vp29
     199.219	          66	          N1	           1	  negativeLargeDark	vp31
     207.031	          66	          N1	           2	  negativeSmallDark	vp31
     218.750	          66	          N1	           3	negativeLargeBright	vp31
     234.375	          66	          N1	           4	negativeSmallBright	vp31
     203.125	          66	          N1	           5	   neutralLargeDark	vp31
     203.125	          66	          N1	           6	   neutralSmallDark	vp31
     226.563	          66	          N1	           7	 neutralLargeBright	vp31
     171.875	          66	          N1	           8	 neutralSmallBright	vp31
     187.500	          66	          N1	           1	  negativeLargeDark	vp33
     246.094	          66	          N1	           2	  negativeSmallDark	vp33
     238.281	          66	          N1	           3	negativeLargeBright	vp33
     234.375	          66	          N1	           4	negativeSmallBright	vp33
     226.563	          66	          N1	           5	   neutralLargeDark	vp33
