participant,bin,66.4063,70.3125,74.2188,78.125,82.0313,85.9375,89.8438,93.75,97.6563,101.5625,105.4688,109.375,113.2813,117.1875,121.0938,125,128.9063,132.8125,136.7188,140.625,144.5313,148.4375,mean
vp01,2,2.096,2.2619,1.758,1.1224,0.76096,0.75871,0.88114,0.7603,0.15549,-0.85188,-1.8407,-2.2306,-1.5768,0.16688,2.551,4.7658,5.958,5.583,3.631,0.62479,-2.6036,-5.2538,0.885363182
vp01,8,-0.62133,0.23383,0.89723,1.3931,1.8091,2.2145,2.622,2.9948,3.2801,3.428,3.3926,3.133,2.6128,1.8164,0.78697,-0.36029,-1.4583,-2.34,-2.9053,-3.1588,-3.2002,-3.18,0.608645909
vp01,7,4.432,4.067,2.6013,0.74862,-0.55031,-0.60557,0.64924,2.5989,4.2422,4.7039,3.7019,1.7319,-0.12815,-0.70424,0.74061,4.1633,8.7415,13.2126,16.3658,17.4772,16.5248,14.1196,5.40155
vp01,5,0.75518,1.328,2.4916,3.7908,4.8467,5.5102,5.8667,6.0986,6.3114,6.4275,6.2238,5.4909,4.2053,2.6051,1.1098,0.12014,-0.19083,0.026134,0.37808,0.43977,-0.02173,-0.93434,2.858127455
vp01,3,6.5585,4.6894,2.2926,0.070998,-1.5437,-2.5008,-3.0029,-3.2501,-3.2225,-2.6618,-1.2644,1.0317,3.8639,6.5017,8.128,8.2104,6.7717,4.3953,1.9605,0.25722,-0.32905,0.081266,1.683542455
vp01,1,-2.1401,-3.3761,-4.9305,-5.6276,-4.7339,-2.3538,0.63483,3.0664,4.1175,3.7343,2.63,1.855,2.2001,3.7582,5.885,7.5635,7.9637,6.894,4.8938,2.9297,1.8687,2.0128,1.765705909
vp01,3,-8.2429,-7.8469,-7.074,-5.9236,-4.7183,-3.9782,-4.1362,-5.2373,-6.8241,-8.111,-8.3827,-7.3981,-5.5614,-3.7509,-2.8819,-3.4271,-5.1607,-7.2679,-8.7541,-8.9435,-7.7846,-5.8251,-6.23775
vp01,4,-0.4693,-0.29502,0.60097,1.9914,3.6015,5.1984,6.6313,7.8154,8.7013,9.263,9.4999,9.45,9.184,8.7807,8.2969,7.7517,7.1391,6.4628,5.7759,5.1823,4.7968,4.6891,5.911279545
vp01,3,-4.6555,-3.4725,-2.0427,-0.78814,0.00048304,0.21835,-0.089211,-0.8023,-1.7834,-2.8764,-3.8788,-4.5391,-4.609,-3.9466,-2.6038,-0.8391,0.97391,2.5019,3.5792,4.2215,4.5191,4.4757,-0.747109453
vp01,1,-0.040368,-0.059101,-0.20678,-0.056516,0.65264,1.8468,3.1365,4.0283,4.2049,3.708,2.9162,2.3246,2.2655,2.7219,3.3458,3.6637,3.3427,2.3625,0.99291,-0.38065,-1.4686,-2.1994,1.686433409
vp01,5,4.5432,4.2554,3.9144,3.6794,3.6637,3.8095,3.8758,3.5551,2.6568,1.2599,-0.28107,-1.4911,-2.0004,-1.7345,-0.94603,-0.067645,0.51253,0.63434,0.40215,0.06331,-0.18725,-0.35131,1.353010227
vp01,8,-3.9929,-5.764,-6.791,-7.1975,-7.2736,-7.3703,-7.777,-8.6075,-9.7271,-10.7739,-11.2606,-10.7386,-8.9908,-6.1687,-2.8037,0.33193,2.4812,3.1908,2.5034,0.95605,-0.62464,-1.4565,-4.902498182
vp01,1,2.4029,2.0071,1.0875,-0.045011,-0.94042,-1.2171,-0.75237,0.2488,1.3463,2.0921,2.2726,2.0251,1.763,1.9423,2.7946,4.169,5.576,6.4025,6.191,4.8428,2.6502,0.15533,2.137010409
vp01,4,0.44427,0.95209,0.64854,-0.30539,-1.2866,-1.5772,-0.78091,0.94219,2.9286,4.34,4.5904,3.6323,1.9719,0.40411,-0.39672,-0.21502,0.60652,1.3511,1.2988,0.08493,-2.116,-4.6669,0.584136818
vp01,8,-6.1534,-8.6104,-11.3169,-13.1833,-13.5432,-12.3955,-10.3568,-8.3753,-7.2994,-7.4969,-8.7112,-10.2051,-11.1256,-10.91,-9.5365,-7.5234,-5.6793,-4.7321,-5.0054,-6.2976,-8.0023,-9.4037,-8.902877273
