participant,bin,electrode,P1,N1,EPN,LPP
vp08,NegMinNeut,C2,0.073747,0.088238,-0.2028,-0.31838
vp08,NegMinNeut,C4,-0.14113,0.0259,0.10454,0.0144
vp08,NegMinNeut,C6,-0.10481,0.12665,-0.29014,-0.26796
vp08,NegMinNeut,T8,-0.30495,-0.13206,0.12575,0.085165
vp08,NegMinNeut,TP8,-0.010731,0.27727,0.32214,0.63698
vp08,NegMinNeut,CP6,0.077224,0.42527,0.30609,0.70305
vp08,NegMinNeut,CP4,-0.03067,0.22647,0.14428,0.53828
vp08,NegMinNeut,CP2,-0.057566,0.16106,-0.029334,0.21539
vp08,NegMinNeut,P2,0.4216,0.68851,0.44221,0.90471
vp08,NegMinNeut,P4,0.11406,0.49795,0.17868,0.7259
vp08,NegMinNeut,P6,0.21558,0.83799,0.79125,1.2818
vp08,NegMinNeut,P8,-0.026493,0.48393,0.59915,0.7644
vp08,NegMinNeut,P10,-0.060865,0.29129,-0.14738,-0.21554
vp08,NegMinNeut,PO8,0.24567,0.73971,1.0595,0.99845
vp08,NegMinNeut,PO4,0.40896,0.59126,0.85676,1.2406
vp08,NegMinNeut,O2,0.18618,0.30345,0.95219,1.0361
vp09,localizer,Fp1,-0.21397,-0.051966,-1.0014,-0.81674
vp09,localizer,AF7,0.0077107,-0.47596,-1.1757,-0.85132
vp09,localizer,AF3,-0.062143,-0.41044,-1.4512,-1.1149
vp09,localizer,F1,-0.14462,-0.22194,-1.6051,-1.4617
vp09,localizer,F3,-0.093772,-0.30484,-1.461,-1.3097
vp09,localizer,F5,-0.064355,-0.49653,-1.3164,-0.95777
vp09,localizer,F7,0.041971,-0.50011,-0.76691,-0.41402
vp09,localizer,FT7,-0.021499,-0.61973,-0.32643,0.32339
vp09,localizer,FC5,-0.091841,-0.43969,-0.85706,-0.501
vp09,localizer,FC3,-0.12105,-0.014079,-1.1406,-0.97279
vp09,localizer,FC1,-0.36395,0.062259,-1.4335,-1.3633
vp09,localizer,C1,-0.44017,0.4187,-0.4935,-0.46125
vp09,localizer,C3,-0.031857,0.40742,-0.37521,-0.42333
vp09,localizer,C5,0.32284,0.0064558,-0.0706,0.20824
vp09,localizer,T7,0.48415,-0.25504,-0.017356,0.37098
vp09,localizer,TP7,0.67246,-0.48394,0.33741,0.78865
vp09,localizer,CP5,0.45526,0.097638,0.80135,0.9403
vp09,localizer,CP3,0.12585,0.68561,1.0418,0.92391
vp09,localizer,CP1,-0.021046,0.85076,0.78722,0.77163
vp09,localizer,P1,-0.023856,0.97935,1.8809,1.6987
vp09,localizer,P3,0.37081,0.95984,2.083,1.7542
vp09,localizer,P5,0.72287,0.3053,1.8753,1.7057
vp09,localizer,P7,0.94376,-0.58738,1.413,1.4052
vp09,localizer,P9,1.1931,-1.8116,-0.63539,0.10377
vp09,localizer,PO7,1.2774,-0.24693,2.453,2.1236
vp09,localizer,PO3,0.45791,1.3006,3.1541,2.5619
vp09,localizer,O1,0.4207,0.90229,2.6013,2.0949
vp09,localizer,Iz,0.11082,-0.68165,-0.14686,0.054621
vp09,localizer,Oz,-0.31399,0.62543,1.8104,1.4736
vp09,localizer,POz,-0.19055,1.1436,2.7908,2.5274
vp09,localizer,Pz,-0.24881,0.86419,1.8282,1.7069
vp09,localizer,CPz,-0.30775,0.75997,0.69991,0.67365
vp09,localizer,Fpz,-0.30671,-0.25835,-1.3768,-1.1774
vp09,localizer,Fp2,-0.30363,-0.41371,-1.5786,-1.4056
vp09,localizer,AF8,-0.097964,-0.76776,-1.98,-1.6784
vp09,localizer,AF4,-0.29691,-0.8114,-2.0209,-1.79
vp09,localizer,Afz,-0.34902,-0.6077,-2.0244,-1.6527
vp09,localizer,Fz,-0.15157,-0.22598,-1.5988,-1.4435
vp09,localizer,F2,-0.27032,-0.3555,-1.7012,-1.6506
vp09,localizer,F4,-0.23837,-0.69684,-1.9655,-1.9103
vp09,localizer,F6,-0.080448,-0.66121,-1.8241,-1.6455
vp09,localizer,F8,0.040706,-0.58131,-1.5586,-1.4345
vp09,localizer,FT8,0.16371,-0.39044,-1.0098,-0.98777
vp09,localizer,FC6,-0.12817,-0.32678,-1.1191,-1.073
vp09,localizer,FC4,-0.12962,-0.078001,-1.3066,-1.2328
vp09,localizer,FC2,-0.44372,-0.10744,-1.5717,-1.4964
vp09,localizer,FCz,-0.49258,-0.015416,-1.8501,-1.6272
vp09,localizer,Cz,-0.34568,0.52474,-0.79544,-0.77166
vp09,localizer,C2,-0.31197,0.44502,-0.53551,-0.52317
vp09,localizer,C4,-0.26815,0.33523,-0.38165,-0.51826
vp09,localizer,C6,-0.015183,0.01211,-0.24723,-0.53883
vp09,localizer,T8,0.18085,-0.45918,-0.50265,-0.62364
vp09,localizer,TP8,0.26053,-0.61391,0.29704,-0.030096
vp09,localizer,CP6,-0.027098,0.099043,0.72928,0.35069
vp09,localizer,CP4,-0.33002,0.43903,0.88696,0.62564
vp09,localizer,CP2,-0.48049,0.50603,0.52324,0.57367
vp09,localizer,P2,-0.25751,0.85504,1.7667,1.5919
vp09,localizer,P4,-0.2819,0.84885,2.0216,1.597
vp09,localizer,P6,0.081901,0.60168,1.7612,1.2659
vp09,localizer,P8,0.1927,-0.42198,1.1404,0.60562
vp09,localizer,P10,0.57888,-1.7975,-0.46171,-0.3438
vp09,localizer,PO8,-0.25538,0.22342,2.1601,1.4588
vp09,localizer,PO4,-0.25055,1.339,2.9997,2.4582
vp09,localizer,O2,-0.23868,0.59359,1.8408,1.4644
vp09,NegMinNeut,Fp1,0.3849,0.043709,-0.42254,-0.45625
vp09,NegMinNeut,AF7,0.36895,0.058636,-0.68815,-0.59558
vp09,NegMinNeut,AF3,0.49422,0.11334,-0.25855,-0.28811
vp09,NegMinNeut,F1,0.29647,0.2893,-0.03963,-0.17569
vp09,NegMinNeut,F3,0.37898,0.040788,-0.35963,-0.35471
vp09,NegMinNeut,F5,0.24627,-0.0060429,-0.26827,-0.38565
vp09,NegMinNeut,F7,0.13533,0.23013,-0.53676,-0.5888
vp09,NegMinNeut,FT7,-0.57706,-0.46766,-0.14598,-0.42765
vp09,NegMinNeut,FC5,0.26007,-0.29498,-0.6368,-0.61091
vp09,NegMinNeut,FC3,0.25012,0.18309,-0.25953,-0.48017
vp09,NegMinNeut,FC1,-0.029973,-0.31129,-0.025348,-0.26699
vp09,NegMinNeut,C1,-0.2311,0.021537,0.028641,-0.32909
vp09,NegMinNeut,C3,-0.43336,-0.025519,0.23326,0.094686
vp09,NegMinNeut,C5,0.29266,0.33369,0.2129,0.30859
vp09,NegMinNeut,T7,-0.086771,0.022352,-0.2023,0.11289
vp09,NegMinNeut,TP7,0.045406,0.22029,0.23159,0.53806
vp09,NegMinNeut,CP5,-0.11511,-0.043926,0.071119,0.23264
vp09,NegMinNeut,CP3,0.13507,0.25752,0.58475,0.44443
vp09,NegMinNeut,CP1,-0.21513,-0.012442,-0.025341,-0.087745
vp09,NegMinNeut,P1,-0.066742,-0.014334,0.026977,0.22612
vp09,NegMinNeut,P3,0.03324,-0.067067,0.36674,0.37022
vp09,NegMinNeut,P5,-0.021605,0.11065,0.36341,0.56275
vp09,NegMinNeut,P7,0.13491,0.404,0.39412,0.47265
vp09,NegMinNeut,P9,0.036954,0.36605,0.18648,0.78973
vp09,NegMinNeut,PO7,0.076836,0.11403,0.11069,0.31459
vp09,NegMinNeut,PO3,-0.26598,-0.32319,-0.26997,0.19369
vp09,NegMinNeut,O1,-0.10154,-0.34644,0.10285,0.28538
vp09,NegMinNeut,Iz,-0.026542,-0.014723,0.099401,0.20402
vp09,NegMinNeut,Oz,-0.3509,-0.38953,0.33722,0.30599
vp09,NegMinNeut,POz,-0.16845,-0.12763,0.47588,0.65745
vp09,NegMinNeut,Pz,0.16576,0.10824,0.36464,0.30605
vp09,NegMinNeut,CPz,-0.10433,0.068329,0.21559,0.019744
vp09,NegMinNeut,Fpz,0.31291,0.012586,-0.36643,-0.43268
vp09,NegMinNeut,Fp2,0.16154,0.068677,-0.22484,-0.22116
vp09,NegMinNeut,AF8,-0.1972,-0.11998,-0.37049,-0.10151
vp09,NegMinNeut,AF4,0.40817,0.42064,0.14061,0.0096741
vp09,NegMinNeut,Afz,0.31192,-0.25769,-0.64102,-0.81868
vp09,NegMinNeut,Fz,0.23877,0.15001,-0.097909,-0.26585
vp09,NegMinNeut,F2,0.1543,0.03416,-0.14485,-0.12604
vp09,NegMinNeut,F4,-0.20945,-0.1829,-0.1672,-0.24695
vp09,NegMinNeut,F6,0.02254,-0.01768,-0.19267,-0.18328
vp09,NegMinNeut,F8,0.11779,-0.069458,-0.279,-0.22584
vp09,NegMinNeut,FT8,-0.18303,-0.16754,-0.26584,-0.17502
vp09,NegMinNeut,FC6,0.098484,0.1157,0.039505,0.069662
vp09,NegMinNeut,FC4,-0.010331,0.021481,0.091405,0.04907
vp09,NegMinNeut,FC2,0.41669,0.58277,0.48768,0.36356
vp09,NegMinNeut,FCz,0.42174,0.15026,0.70298,0.33406
vp09,NegMinNeut,Cz,0.27185,0.38798,0.10817,-0.13579
vp09,NegMinNeut,C2,0.13044,0.11267,0.25616,-0.018419
vp09,NegMinNeut,C4,0.12632,0.28268,0.41088,0.21575
vp09,NegMinNeut,C6,-0.18011,-0.042023,0.13025,0.12116
vp09,NegMinNeut,T8,-0.10303,-0.15306,-0.12047,-0.1974
vp09,NegMinNeut,TP8,-0.20428,-0.22462,0.13645,0.20242
vp09,NegMinNeut,CP6,-0.3732,-0.24352,-0.13156,-0.068492
vp09,NegMinNeut,CP4,0.09537,0.48351,0.30772,0.20954
vp09,NegMinNeut,CP2,0.091588,0.29924,0.2189,0.0771
vp09,NegMinNeut,P2,0.068009,0.082736,0.20277,0.083743
vp09,NegMinNeut,P4,-0.22841,0.046495,-0.14919,-0.092274
vp09,NegMinNeut,P6,-0.43941,-0.088132,-0.26549,-0.24569
vp09,NegMinNeut,P8,-0.63527,-0.34421,-0.25163,-0.19762
vp09,NegMinNeut,P10,-0.27264,-0.29932,-0.0031763,0.084143
vp09,NegMinNeut,PO8,-0.27052,-0.38577,0.13729,0.29323
vp09,NegMinNeut,PO4,-0.53303,-0.57343,0.015913,-0.017171
vp09,NegMinNeut,O2,-0.55005,-0.62318,0.017607,0.2644
vp10,localizer,Fp1,-0.46909,-0.076942,-1.3786,-0.69741
vp10,localizer,AF7,-0.29326,0.074072,-1.2589,-1.0415
vp10,localizer,AF3,-0.41414,-0.20065,-1.6605,-0.87442
vp10,localizer,F1,-0.59183,-0.083365,-1.8487,-1.105
vp10,localizer,F3,-0.18681,0.11839,-1.7245,-1.2756
vp10,localizer,F5,-0.21426,-0.031575,-1.3955,-1.2849
vp10,localizer,F7,-0.14688,-0.14593,-1.0177,-1.1479
vp10,localizer,FT7,-0.064012,-0.36111,-0.79984,-0.90092
vp10,localizer,FC5,-0.19818,-0.2438,-0.73781,-0.71505
vp10,localizer,FC3,-0.45238,-0.073438,-1.1495,-0.80196
vp10,localizer,FC1,-0.56775,0.12141,-1.3717,-0.66331
vp10,localizer,C1,-0.4285,0.34794,-0.29186,0.31926
vp10,localizer,C3,-0.34034,4.6893e-05,-0.070237,-0.0183
vp10,localizer,C5,-0.061028,-0.39406,0.06497,-0.27416
vp10,localizer,T7,-0.098689,-1.0243,-0.39105,-0.84526
vp10,localizer,TP7,0.1706,-1.3559,0.20513,-0.84935
vp10,localizer,CP5,0.20763,-0.8221,0.67002,-0.34198
vp10,localizer,CP3,0.019899,0.36688,1.1938,0.63967
vp10,localizer,CP1,-0.059873,0.87733,1.1445,1.058
vp10,localizer,P1,0.16016,1.1962,2.0617,1.3628
vp10,localizer,P3,0.4506,0.35745,1.8327,0.53434
vp10,localizer,P5,0.57333,-1.0516,0.96271,-0.68954
vp10,localizer,P7,0.57734,-2.7451,-0.23876,-2.221
vp10,localizer,P9,0.2872,-2.2609,-0.046507,-1.6875
vp10,localizer,PO7,0.97651,-3.1236,-1.184,-3.4503
vp10,localizer,PO3,0.39039,0.61613,1.5557,-0.026019
vp10,localizer,O1,0.68503,-1.0699,-0.97691,-2.5205
vp10,localizer,Iz,0.64833,-0.06946,-0.15314,-0.82818
vp10,localizer,Oz,0.50648,0.52291,-0.30601,-1.1172
vp10,localizer,POz,0.4334,2.0089,1.9104,1.1115
vp10,localizer,Pz,0.14917,1.6071,1.9801,1.7506
vp10,localizer,CPz,-0.18082,1.049,0.93369,1.4881
vp10,localizer,Fpz,-0.59059,-0.4994,-1.3868,-0.37831
vp10,localizer,Fp2,-0.59565,-0.56949,-1.173,0.074569
vp10,localizer,AF8,-0.41978,-0.60456,-0.80956,0.30901
vp10,localizer,AF4,-0.4899,-0.58326,-1.3893,-0.39051
vp10,localizer,Afz,-0.5017,-0.38477,-1.6802,-0.82341
vp10,localizer,Fz,-0.54499,-0.046694,-1.7558,-0.93614
vp10,localizer,F2,-0.61909,-0.18974,-1.4762,-0.65521
vp10,localizer,F4,-0.62972,-0.512,-1.5677,-0.66054
vp10,localizer,F6,-0.3764,-0.60079,-0.89424,0.053751
vp10,localizer,F8,-0.31449,-0.81114,-0.3921,0.59468
vp10,localizer,FT8,-0.21773,-0.70672,-0.098762,0.795
vp10,localizer,FC6,-0.21553,-0.31647,-0.16894,0.75494
vp10,localizer,FC4,-0.71145,-0.24408,-1.0781,-0.10851
vp10,localizer,FC2,-0.69939,0.13623,-1.283,-0.4039
vp10,localizer,FCz,-0.71524,0.29741,-1.4275,-0.61819
vp10,localizer,Cz,-0.70113,0.27654,-0.8117,0.16296
vp10,localizer,C2,-0.5093,0.44158,-0.22079,0.80854
vp10,localizer,C4,-0.42048,0.088224,0.022838,1.1117
vp10,localizer,C6,-0.25118,-0.43966,0.3335,1.2328
vp10,localizer,T8,-0.0012045,-0.7929,0.31527,0.95322
vp10,localizer,TP8,0.50558,-0.25738,1.4476,1.5395
vp10,localizer,CP6,0.24457,0.078502,1.3102,1.6822
vp10,localizer,CP4,-0.06764,0.56638,1.2186,1.8562
vp10,localizer,CP2,-0.30995,0.87369,0.88947,1.4354
vp10,localizer,P2,0.33206,2.0033,2.2607,1.9671
vp10,localizer,P4,0.39914,1.7485,2.3925,2.0627
vp10,localizer,P6,0.85215,1.3253,2.4424,1.723
vp10,localizer,P8,1.4664,1.0348,2.736,1.5804
vp10,localizer,P10,1.1797,0.23873,1.8248,1.0372
vp10,localizer,PO8,1.7922,1.2507,1.8051,0.29998
vp10,localizer,PO4,0.65459,2.0358,1.7384,0.68887
vp10,localizer,O2,1.008,1.0333,0.36268,-0.63615
vp10,NegMinNeut,Fp1,-0.016578,0.10869,0.030424,0.15912
vp10,NegMinNeut,AF7,-0.16517,0.022247,0.053344,0.41766
vp10,NegMinNeut,AF3,0.05435,0.16781,0.053275,0.11733
vp10,NegMinNeut,F1,0.034853,0.46368,0.13554,0.23113
vp10,NegMinNeut,F3,0.001583,0.32671,0.14905,0.32767
vp10,NegMinNeut,F5,0.017328,0.26547,0.18314,0.72478
vp10,NegMinNeut,F7,-0.54936,-0.41758,-0.25127,0.1625
vp10,NegMinNeut,FT7,-0.28394,0.21603,0.41733,0.80694
vp10,NegMinNeut,FC5,0.075085,0.42991,0.22676,0.62055
vp10,NegMinNeut,FC3,0.16379,0.52212,0.27105,0.41258
vp10,NegMinNeut,FC1,-0.080371,0.31613,0.27637,0.11882
vp10,NegMinNeut,C1,0.15256,0.56221,0.33311,0.20276
vp10,NegMinNeut,C3,0.10621,0.5244,0.39008,0.48599
vp10,NegMinNeut,C5,0.00026638,0.31506,0.087503,0.54126
vp10,NegMinNeut,T7,0.22332,0.39764,0.1815,0.7755
vp10,NegMinNeut,TP7,0.030867,-0.023046,-0.33913,0.27786
vp10,NegMinNeut,CP5,-0.30965,-0.19865,-0.31287,0.12965
vp10,NegMinNeut,CP3,0.019801,0.41403,0.11413,0.21941
vp10,NegMinNeut,CP1,-0.18027,0.20696,0.083167,0.084949
vp10,NegMinNeut,P1,-0.19376,0.0080062,0.065412,0.16413
vp10,NegMinNeut,P3,-0.16726,0.00655,-0.30234,-0.33311
vp10,NegMinNeut,P5,0.2325,0.30987,-0.25964,-0.047987
vp10,NegMinNeut,P7,0.31881,0.15916,-0.6549,-0.45891
vp10,NegMinNeut,P9,0.1792,-0.07027,-0.52938,-0.20364
vp10,NegMinNeut,PO7,0.22799,-0.20644,-0.56787,-0.28304
vp10,NegMinNeut,PO3,-0.030186,0.26032,0.033968,0.088433
vp10,NegMinNeut,O1,-0.10018,-0.29742,-0.21271,-0.15881
vp10,NegMinNeut,Iz,0.074253,-0.42019,-0.531,-0.4854
vp10,NegMinNeut,Oz,0.057269,-0.22983,-0.20008,-0.23668
vp10,NegMinNeut,POz,-0.18188,-0.12549,-0.12197,-0.098973
vp10,NegMinNeut,Pz,-0.14195,0.030834,0.1206,0.094308
vp10,NegMinNeut,CPz,0.081496,0.16329,0.13945,-0.037439
vp10,NegMinNeut,Fpz,0.054014,0.033224,-0.12334,-0.19533
vp10,NegMinNeut,Fp2,-0.019683,-0.2986,-0.54331,-0.57167
vp10,NegMinNeut,AF8,0.25782,-0.22781,-0.48397,-0.91964
vp10,NegMinNeut,AF4,-0.26821,-0.31914,-0.44518,-0.69617
vp10,NegMinNeut,Afz,-0.019447,0.11735,-0.017649,-0.10054
vp10,NegMinNeut,Fz,-0.040448,0.24988,0.14427,0.13343
vp10,NegMinNeut,F2,-0.22904,0.20299,0.40315,0.12454
vp10,NegMinNeut,F4,0.049439,0.082348,0.084056,-0.21736
vp10,NegMinNeut,F6,0.081135,-0.11942,-0.21441,-0.57244
vp10,NegMinNeut,F8,0.41709,-0.15371,-0.3092,-0.74205
vp10,NegMinNeut,FT8,-0.18942,-0.63412,0.038936,-0.11903
vp10,NegMinNeut,FC6,0.11519,0.071485,-0.015818,-0.37779
vp10,NegMinNeut,FC4,-0.022413,-0.13,-0.11392,-0.19488
vp10,NegMinNeut,FC2,-0.094311,0.078975,0.145,-0.10043
vp10,NegMinNeut,FCz,0.07453,0.49505,0.50827,0.28566
vp10,NegMinNeut,Cz,0.11529,0.3993,0.38642,0.048603
vp10,NegMinNeut,C2,0.26662,0.1843,0.44837,0.20633
vp10,NegMinNeut,C4,0.30849,-0.02256,0.37319,0.1471
vp10,NegMinNeut,C6,-0.0049263,-0.2097,0.2771,0.099398
vp10,NegMinNeut,T8,-0.13353,-0.5907,0.048767,-0.1023
vp10,NegMinNeut,TP8,-0.173,-0.69833,-0.23049,-0.24632
vp10,NegMinNeut,CP6,-0.2299,-0.69176,-0.18753,-0.19911
vp10,NegMinNeut,CP4,-0.04904,-0.38431,-0.056431,-0.19875
vp10,NegMinNeut,CP2,0.23908,0.11707,0.32635,0.1143
vp10,NegMinNeut,P2,0.11958,0.18898,0.38427,0.22147
vp10,NegMinNeut,P4,-0.032573,-0.30558,0.036257,-0.073895
vp10,NegMinNeut,P6,-0.12657,-0.46782,-0.04403,-0.15919
vp10,NegMinNeut,P8,-0.17823,-0.38081,0.10988,0.091575
vp10,NegMinNeut,P10,0.11176,-0.26264,0.37491,0.26815
vp10,NegMinNeut,PO8,-0.098048,-0.20557,0.011166,-0.14473
vp10,NegMinNeut,PO4,-0.070845,-0.17545,-0.27203,-0.4135
vp10,NegMinNeut,O2,0.1186,-0.15111,-0.10509,-0.21475
vp11,localizer,Fp1,-0.44184,0.7521,0.5922,-0.35049
vp11,localizer,AF7,-0.37653,0.64093,0.4307,-0.16518
vp11,localizer,AF3,-0.34529,0.57576,0.16834,-0.23161
vp11,localizer,F1,-0.48565,0.15908,-0.18477,-0.073445
vp11,localizer,F3,-0.2349,0.27533,-0.35171,-0.30874
vp11,localizer,F5,-0.1856,0.41678,-0.0044224,0.022152
vp11,localizer,F7,-0.26256,0.14842,0.30242,-0.21635
vp11,localizer,FT7,-0.19014,-0.0028195,-0.018976,-0.10892
vp11,localizer,FC5,-0.24047,0.25781,-0.038224,0.19176
vp11,localizer,FC3,-0.28985,0.34644,-0.33678,0.14283
vp11,localizer,FC1,-0.69375,0.090393,-0.78783,-0.29922
vp11,localizer,C1,-0.45738,0.51279,-0.1714,0.66576
vp11,localizer,C3,-0.27246,0.33176,0.030907,0.75081
vp11,localizer,C5,-0.22468,-0.0074924,0.043725,0.47722
vp11,localizer,T7,-0.010129,-0.21718,0.012524,0.14683
vp11,localizer,TP7,-0.022364,-1.1551,-0.1158,0.17555
vp11,localizer,CP5,-0.24967,-0.49377,0.33338,0.93912
vp11,localizer,CP3,-0.33696,0.02806,0.36847,1.177
vp11,localizer,CP1,-0.26661,0.36779,0.19327,1.1203
vp11,localizer,P1,-0.10916,0.26303,0.82895,1.4189
vp11,localizer,P3,-0.23956,-0.10974,0.69999,1.3326
vp11,localizer,P5,-0.36957,-0.76821,0.67766,1.0866
vp11,localizer,P7,-0.018491,-1.4791,0.71224,0.95493
vp11,localizer,P9,0.1158,-2.6229,-0.30102,-0.18906
vp11,localizer,PO7,-0.4421,-1.5275,0.67232,0.59957
vp11,localizer,PO3,-0.40588,-0.068833,1.0399,1.309
vp11,localizer,O1,-0.4135,-1.5416,-0.44966,-0.29992
vp11,localizer,Iz,-0.10572,-2.4354,-1.9015,-2.051
vp11,localizer,Oz,-0.22476,-1.3583,-1.0528,-0.68348
vp11,localizer,POz,-0.073623,-0.080404,0.38628,0.97132
vp11,localizer,Pz,0.12119,0.41293,0.76976,1.4366
vp11,localizer,CPz,-0.13146,0.50205,0.027165,0.99068
vp11,localizer,Fpz,-0.4417,0.78526,0.75294,-0.56603
vp11,localizer,Fp2,-0.38975,0.84883,0.92972,-0.77845
vp11,localizer,AF8,-0.12238,1.1437,0.65313,-0.8277
vp11,localizer,AF4,-0.073375,0.98013,0.23326,-0.8306
vp11,localizer,Afz,-0.28864,0.65098,0.13203,-0.46796
vp11,localizer,Fz,-0.33002,0.30647,-0.29767,-0.40988
vp11,localizer,F2,-0.059017,0.54478,-0.47848,-0.80736
vp11,localizer,F4,0.43299,1.1624,-0.44139,-1.1158
vp11,localizer,F6,0.30655,1.3534,-0.19644,-1.1164
vp11,localizer,F8,0.27898,1.3245,0.17986,-0.82645
vp11,localizer,FT8,0.19163,1.129,0.10193,-0.63382
vp11,localizer,FC6,0.42194,1.064,-0.38371,-1.0376
vp11,localizer,FC4,0.36161,0.86983,-0.53616,-0.86354
vp11,localizer,FC2,-0.13816,0.42361,-0.74475,-0.54464
vp11,localizer,FCz,-0.72568,0.20364,-0.35,0.14857
vp11,localizer,Cz,-0.34227,0.7357,-0.24255,0.63647
vp11,localizer,C2,-0.15472,0.39703,-0.48935,0.12786
vp11,localizer,C4,0.14832,0.37517,-0.35429,-0.12394
vp11,localizer,C6,0.33884,0.63966,-0.15606,-0.49021
vp11,localizer,T8,0.58551,0.76601,0.13394,-0.58116
vp11,localizer,TP8,0.76607,-0.00045922,0.19235,-0.4096
vp11,localizer,CP6,0.55092,-0.17458,-0.11228,-0.21611
vp11,localizer,CP4,0.19768,-0.079146,-0.17927,0.21033
vp11,localizer,CP2,0.22243,0.40493,0.08489,0.84285
vp11,localizer,P2,0.25787,0.33357,0.46669,1.2483
vp11,localizer,P4,0.50713,-0.032176,0.35354,0.76851
vp11,localizer,P6,0.80212,-0.80381,-0.089188,0.067934
vp11,localizer,P8,1.1929,-1.5626,-0.056151,-0.50843
vp11,localizer,P10,1.3625,-1.979,-0.035443,-0.91436
vp11,localizer,PO8,1.3917,-2.0546,-0.62742,-0.58542
vp11,localizer,PO4,0.28399,-0.32625,0.20169,0.58646
vp11,localizer,O2,0.34766,-1.6433,-1.2206,-0.91381
vp11,NegMinNeut,Fp1,-0.0501,0.052804,0.18477,-0.16172
vp11,NegMinNeut,AF7,-0.036751,0.020607,0.33615,0.0098321
vp11,NegMinNeut,AF3,0.014017,0.21588,0.58071,0.10497
vp11,NegMinNeut,F1,0.29397,0.63641,1.1948,0.81519
vp11,NegMinNeut,F3,0.04438,0.25977,0.65562,0.0024306
vp11,NegMinNeut,F5,-0.025523,0.15088,0.56839,0.08765
vp11,NegMinNeut,F7,-0.17703,-0.33626,0.21982,-0.069308
vp11,NegMinNeut,FT7,-0.13684,-0.34261,-0.2274,-0.30797
vp11,NegMinNeut,FC5,-0.024306,-0.025947,0.091989,-0.090683
vp11,NegMinNeut,FC3,0.46728,0.40408,0.8716,0.47915
vp11,NegMinNeut,FC1,0.35302,0.65238,1.1278,0.56793
vp11,NegMinNeut,C1,0.39197,0.3546,0.69209,0.34469
vp11,NegMinNeut,C3,0.29489,0.22826,0.41368,0.14026
vp11,NegMinNeut,C5,0.055391,-0.068141,-0.10016,-0.11105
vp11,NegMinNeut,T7,-0.10473,-0.3175,-0.42679,-0.27391
vp11,NegMinNeut,TP7,0.17303,-0.18333,-0.69749,-0.35214
vp11,NegMinNeut,CP5,0.22346,-0.12715,-0.33887,-0.17947
vp11,NegMinNeut,CP3,0.17849,0.13471,-0.053291,-0.0090363
vp11,NegMinNeut,CP1,0.3224,0.19316,0.33438,0.31644
vp11,NegMinNeut,P1,0.16234,0.24025,-0.14791,0.16745
vp11,NegMinNeut,P3,0.49583,0.18737,-0.11374,0.12119
vp11,NegMinNeut,P5,0.10396,-0.13299,-0.59076,-0.34625
vp11,NegMinNeut,P7,0.041291,-0.23162,-0.67105,-0.3551
vp11,NegMinNeut,P9,0.013305,-0.19589,-0.56894,-0.16282
vp11,NegMinNeut,PO7,0.17435,0.027027,-0.75111,-0.39192
vp11,NegMinNeut,PO3,0.25058,0.14225,-0.53136,-0.072424
vp11,NegMinNeut,O1,-0.064091,-0.36871,-0.80822,-0.28248
vp11,NegMinNeut,Iz,-0.040054,-0.49847,-0.78575,-0.28137
vp11,NegMinNeut,Oz,0.066928,-0.62868,-1.2028,-0.53605
vp11,NegMinNeut,POz,0.14899,-0.016897,-0.6189,-0.10806
vp11,NegMinNeut,Pz,0.20954,0.033916,-0.40865,-0.011627
vp11,NegMinNeut,CPz,0.3088,0.20302,0.51006,0.47245
vp11,NegMinNeut,Fpz,-0.13407,-0.039424,-0.08138,-0.42544
vp11,NegMinNeut,Fp2,-0.27519,-0.19812,-0.46163,-0.76296
vp11,NegMinNeut,AF8,-0.47696,-0.31229,-0.33706,-0.62202
vp11,NegMinNeut,AF4,-0.21538,-0.029466,0.24647,-0.087031
vp11,NegMinNeut,Afz,-0.027255,0.16257,0.59481,0.15465
vp11,NegMinNeut,Fz,0.051252,0.11381,0.80899,0.31627
vp11,NegMinNeut,F2,-0.042623,0.21846,1.0638,0.54531
vp11,NegMinNeut,F4,-0.12064,0.088866,0.70248,0.47346
vp11,NegMinNeut,F6,-0.56286,-0.33663,0.040177,-0.097991
vp11,NegMinNeut,F8,-0.69213,-0.29565,0.065794,-0.1155
vp11,NegMinNeut,FT8,-0.53884,-0.347,-0.040235,-0.030668
vp11,NegMinNeut,FC6,-0.4209,-0.36357,0.10536,0.010317
vp11,NegMinNeut,FC4,-0.40917,-0.12016,0.044865,-0.091093
vp11,NegMinNeut,FC2,0.3665,0.38662,0.78473,0.36828
vp11,NegMinNeut,FCz,0.25011,0.51386,0.99827,0.59527
vp11,NegMinNeut,Cz,0.53463,0.46552,1.0943,0.70347
vp11,NegMinNeut,C2,0.1938,0.15653,0.39461,0.26686
vp11,NegMinNeut,C4,-0.31916,-0.12285,0.16314,0.07178
vp11,NegMinNeut,C6,-0.26878,-0.1005,0.1113,0.19563
vp11,NegMinNeut,T8,-0.19233,-0.2526,-0.38015,-0.32162
vp11,NegMinNeut,TP8,-0.31203,-0.20515,-0.53383,-0.35333
vp11,NegMinNeut,CP6,-0.41671,-0.23728,-0.41286,-0.15008
vp11,NegMinNeut,CP4,-0.16212,0.00019763,0.10051,0.28003
vp11,NegMinNeut,CP2,0.21487,0.30986,0.36409,0.3568
