participant,bin,electrode,P1,N1,EPN,LPP
vp01,NegMinNeut,CP3,0.11028,0.2114,0.59107,0.39825
vp01,NegMinNeut,CP1,0.20703,0.28969,0.54176,0.21969
vp01,NegMinNeut,P1,-0.019417,0.23565,0.54352,0.23315
vp01,NegMinNeut,P3,0.028002,-0.11487,0.26615,-0.19369
vp01,NegMinNeut,P5,0.078241,-0.24869,-0.055668,-0.32514
vp01,NegMinNeut,P7,0.16494,-0.71842,-0.52391,-0.59884
vp01,NegMinNeut,P9,0.087295,-0.21355,0.13854,0.0090878
vp01,NegMinNeut,PO7,0.42176,-0.18583,-0.37711,-0.7499
vp01,NegMinNeut,PO3,0.51649,-0.15831,-0.3541,-0.66432
vp01,NegMinNeut,O1,0.55466,-0.39129,-0.67468,-0.83101
vp01,NegMinNeut,Iz,0.54273,-0.19329,-0.41589,-0.51772
vp01,NegMinNeut,Oz,0.99916,-0.088906,-0.45727,-0.50098
vp01,NegMinNeut,POz,0.50864,-0.093902,-0.32975,-0.62321
vp01,NegMinNeut,Pz,0.21617,0.15136,0.1693,-0.23741
vp01,NegMinNeut,CPz,0.17565,0.28799,0.47247,0.25237
vp01,NegMinNeut,Fpz,-0.82498,-0.61807,-0.94687,-0.69611
vp01,NegMinNeut,Fp2,-0.84138,-0.36967,-0.52672,-0.28123
vp01,NegMinNeut,AF8,-1.0013,-0.19281,-0.23488,-0.034399
vp01,NegMinNeut,AF4,-0.66024,-0.16549,-0.34169,-0.066702
vp01,NegMinNeut,Afz,-0.57464,-0.34905,-0.38381,-0.063948
vp01,NegMinNeut,Fz,-0.44157,-0.077315,-0.024293,0.35816
vp01,NegMinNeut,F2,-0.4282,-0.073259,-0.18328,0.13559
vp01,NegMinNeut,F4,-0.44707,-0.075723,-0.18153,0.135
vp01,NegMinNeut,F6,-0.38851,0.20408,0.080698,0.15676
vp01,NegMinNeut,F8,-0.74861,-0.082987,0.1189,0.24178
vp01,NegMinNeut,FT8,-0.040766,0.56304,0.34454,0.31385
vp01,NegMinNeut,FC6,-0.42089,0.031631,-0.12179,-0.049409
vp01,NegMinNeut,FC4,-0.32111,-0.085759,-0.23626,0.15948
vp01,NegMinNeut,FC2,-0.29549,-0.061999,-0.23367,0.15687
vp01,NegMinNeut,FCz,-0.095295,0.312,0.17998,0.55919
vp01,NegMinNeut,Cz,0.093318,0.34263,0.21162,0.29015
vp01,NegMinNeut,C2,0.44935,0.39342,0.21683,0.33428
vp01,NegMinNeut,C4,0.076897,0.097752,-0.088268,0.043522
vp01,NegMinNeut,C6,-0.0044823,0.3049,-0.074955,-0.062781
vp01,NegMinNeut,T8,0.032615,0.44634,0.19267,0.23975
vp01,NegMinNeut,TP8,0.42882,0.36036,0.01857,-0.14445
vp01,NegMinNeut,CP6,0.25775,0.26414,-0.056792,-0.035216
vp01,NegMinNeut,CP4,0.11965,0.25512,0.026456,-0.00030583
vp01,NegMinNeut,CP2,0.17542,0.26636,0.095493,0.043084
vp01,NegMinNeut,P2,0.23268,0.038307,0.064106,-0.18309
vp01,NegMinNeut,P4,0.29054,0.15339,0.10853,-0.048805
vp01,NegMinNeut,P6,0.60056,0.33551,-0.10195,-0.1698
vp01,NegMinNeut,P8,1.9727,1.4428,0.11397,-0.19747
vp01,NegMinNeut,P10,0.51895,0.44668,-0.13905,-0.4536
vp01,NegMinNeut,PO8,1.2304,0.64882,-0.16469,-0.34706
vp01,NegMinNeut,PO4,0.70368,0.11624,-0.23379,-0.39411
vp01,NegMinNeut,O2,0.81668,-0.035657,-0.5085,-0.57729
vp02,localizer,Fp1,-0.39605,0.77719,-1.2229,-0.8368
vp02,localizer,AF7,-0.20692,1.169,-0.75575,-0.30617
vp02,localizer,AF3,-0.72673,0.41265,-1.8336,-1.4223
vp02,localizer,F1,-0.37852,1.0697,-1.7158,-1.0908
vp02,localizer,F3,-0.42989,1.2367,-1.2563,-0.50501
vp02,localizer,F5,-0.17052,1.3738,-0.58391,0.17896
vp02,localizer,F7,0.14149,1.266,0.052416,0.69848
vp02,localizer,FT7,-0.20145,0.52954,0.080708,0.93342
vp02,localizer,FC5,-0.4891,0.80449,-0.27977,0.6693
vp02,localizer,FC3,-0.4764,1.2045,-1.0128,-0.20983
vp02,localizer,FC1,-0.59129,1.167,-2.0095,-1.2487
vp02,localizer,C1,-0.70137,0.66373,-1.6197,-0.91505
vp02,localizer,C3,-0.53436,0.4784,-0.49988,0.14686
vp02,localizer,C5,-0.35208,0.24288,0.33943,1.0608
vp02,localizer,T7,-0.044891,0.10779,0.55281,1.2902
vp02,localizer,TP7,0.36734,-0.67703,1.5671,1.5975
vp02,localizer,CP5,-0.0491,-0.44896,0.95591,1.0997
vp02,localizer,CP3,-0.30889,-0.036287,0.35453,0.47555
vp02,localizer,CP1,-0.44653,0.27487,-0.19082,-0.22676
vp02,localizer,P1,-0.30983,-0.12071,0.73334,0.024408
vp02,localizer,P3,-0.010586,-0.19295,1.1951,0.36365
vp02,localizer,P5,0.35301,-0.61452,1.8622,0.93262
vp02,localizer,P7,0.93394,-0.89144,2.5488,1.4367
vp02,localizer,P9,1.0067,-0.96976,2.273,1.1739
vp02,localizer,PO7,1.0918,-0.80559,2.1714,0.24248
vp02,localizer,PO3,-0.07102,-0.095995,1.4504,-0.11515
vp02,localizer,O1,0.46143,-0.80276,1.0111,-0.72546
vp02,localizer,Iz,1.1186,-1.507,0.82515,-0.49977
vp02,localizer,Oz,0.87735,-1.2356,1.0761,-0.64913
vp02,localizer,POz,0.26251,-0.5488,1.5421,-0.12919
vp02,localizer,Pz,-0.50806,-0.6104,0.1995,-0.34676
vp02,localizer,CPz,-0.71585,0.28059,-0.9136,-0.59943
