       value	     chindex	     chlabel	        bini	           binlabel	ERPset
     226.563	          70	          N1	           1	  negativeLargeDark	vp13
     218.750	          70	          N1	           2	  negativeSmallDark	vp13
     210.938	          70	          N1	           3	negativeLargeBright	vp13
     218.750	          70	          N1	           4	negativeSmallBright	vp13
     230.469	          70	          N1	           5	   neutralLargeDark	vp13
     222.656	          70	          N1	           6	   neutralSmallDark	vp13
     218.750	          70	          N1	           7	 neutralLargeBright	vp13
     226.563	          70	          N1	           8	 neutralSmallBright	vp13
     214.844	          70	          N1	           1	  negativeLargeDark	vp14
     218.750	          70	          N1	           2	  negativeSmallDark	vp14
     234.375	          70	          N1	           3	negativeLargeBright	vp14
     230.469	          70	          N1	           4	negativeSmallBright	vp14
     195.313	          70	          N1	           5	   neutralLargeDark	vp14
     234.375	          70	          N1	           6	   neutralSmallDark	vp14
     226.563	          70	          N1	           7	 neutralLargeBright	vp14
     226.563	          70	          N1	           8	 neutralSmallBright	vp14
     203.125	          70	          N1	           1	  negativeLargeDark	vp15
     214.844	          70	          N1	           2	  negativeSmallDark	vp15
     234.375	          70	          N1	           3	negativeLargeBright	vp15
     187.500	          70	          N1	           4	negativeSmallBright	vp15
     195.313	          70	          N1	           5	   neutralLargeDark	vp15
     222.656	          70	          N1	           6	   neutralSmallDark	vp15
     242.188	          70	          N1	           7	 neutralLargeBright	vp15
     203.125	          70	          N1	           8	 neutralSmallBright	vp15
     167.969	          70	          N1	           1	  negativeLargeDark	vp16
     175.781	          70	          N1	           2	  negativeSmallDark	vp16
     214.844	          70	          N1	           3	negativeLargeBright	vp16
     261.719	          70	          N1	           4	negativeSmallBright	vp16
     175.781	          70	          N1	           5	   neutralLargeDark	vp16
     171.875	          70	          N1	           6	   neutralSmallDark	vp16
     207.031	          70	          N1	           7	 neutralLargeBright	vp16
     207.031	          70	          N1	           8	 neutralSmallBright	vp16
     167.969	          70	          N1	           1	  negativeLargeDark	vp17
     175.781	          70	          N1	           2	  negativeSmallDark	vp17
     191.406	          70	          N1	           3	negativeLargeBright	vp17
     195.313	          70	          N1	           4	negativeSmallBright	vp17
     164.063	          70	          N1	           5	   neutralLargeDark	vp17
     175.781	          70	          N1	           6	   neutralSmallDark	vp17
     195.313	          70	          N1	           7	 neutralLargeBright	vp17
     179.688	          70	          N1	           8	 neutralSmallBright	vp17
     148.438	          70	          N1	           1	  negativeLargeDark	vp18
     160.156	          70	          N1	           2	  negativeSmallDark	vp18
     187.500	          70	          N1	           3	negativeLargeBright	vp18
     226.563	          70	          N1	           4	negativeSmallBright	vp18
     152.344	          70	          N1	           5	   neutralLargeDark	vp18
     160.156	          70	          N1	           6	   neutralSmallDark	vp18
     187.500	          70	          N1	           7	 neutralLargeBright	vp18
     226.563	          70	          N1	           8	 neutralSmallBright	vp18
     226.563	          70	          N1	           1	  negativeLargeDark	vp19
     195.313	          70	          N1	           2	  negativeSmallDark	vp19
     191.406	          70	          N1	           3	negativeLargeBright	vp19
     253.906	          70	          N1	           4	negativeSmallBright	vp19
     167.969	          70	          N1	           5	   neutralLargeDark	vp19
     191.406	          70	          N1	           6	   neutralSmallDark	vp19
     195.313	          70	          N1	           7	 neutralLargeBright	vp19
     253.906	          70	          N1	           8	 neutralSmallBright	vp19
     222.656	          70	          N1	           1	  negativeLargeDark	vp20
     222.656	          70	          N1	           2	  negativeSmallDark	vp20
     257.813	          70	          N1	           3	negativeLargeBright	vp20
     210.938	          70	          N1	           4	negativeSmallBright	vp20
     214.844	          70	          N1	           5	   neutralLargeDark	vp20
     234.375	          70	          N1	           6	   neutralSmallDark	vp20
     195.313	          70	          N1	           7	 neutralLargeBright	vp20
     238.281	          70	          N1	           8	 neutralSmallBright	vp20
     187.500	          70	          N1	           1	  negativeLargeDark	vp21
     242.188	          70	          N1	           2	  negativeSmallDark	vp21
     257.813	          70	          N1	           3	negativeLargeBright	vp21
     175.781	          70	          N1	           4	negativeSmallBright	vp21
     250.000	          70	          N1	           5	   neutralLargeDark	vp21
     164.063	          70	          N1	           6	   neutralSmallDark	vp21
     152.344	          70	          N1	           7	 neutralLargeBright	vp21
     257.813	          70	          N1	           8	 neutralSmallBright	vp21
     164.063	          70	          N1	           1	  negativeLargeDark	vp22
     148.438	          70	          N1	           2	  negativeSmallDark	vp22
     175.781	          70	          N1	           3	negativeLargeBright	vp22
     175.781	          70	          N1	           4	negativeSmallBright	vp22
     164.063	          70	          N1	           5	   neutralLargeDark	vp22
     222.656	          70	          N1	           6	   neutralSmallDark	vp22
     183.594	          70	          N1	           7	 neutralLargeBright	vp22
     195.313	          70	          N1	           8	 neutralSmallBright	vp22
     246.094	          70	          N1	           1	  negativeLargeDark	vp23
     160.156	          70	          N1	           2	  negativeSmallDark	vp23
     175.781	          70	          N1	           3	negativeLargeBright	vp23
     171.875	          70	          N1	           4	negativeSmallBright	vp23
     253.906	          70	          N1	           5	   neutralLargeDark	vp23
     164.063	          70	          N1	           6	   neutralSmallDark	vp23
     175.781	          70	          N1	           7	 neutralLargeBright	vp23
     238.281	          70	          N1	           8	 neutralSmallBright	vp23
     191.406	          70	          N1	           1	  negativeLargeDark	vp24
     207.031	          70	          N1	           2	  negativeSmallDark	vp24
     222.656	          70	          N1	           3	negativeLargeBright	vp24
     218.750	          70	          N1	           4	negativeSmallBright	vp24
     167.969	          70	          N1	           5	   neutralLargeDark	vp24
     175.781	          70	          N1	           6	   neutralSmallDark	vp24
     214.844	          70	          N1	           7	 neutralLargeBright	vp24
     238.281	          70	          N1	           8	 neutralSmallBright	vp24
     160.156	          70	          N1	           1	  negativeLargeDark	vp25
     199.219	          70	          N1	           2	  negativeSmallDark	vp25
     171.875	          70	          N1	           3	negativeLargeBright	vp25
     183.594	          70	          N1	           4	negativeSmallBright	vp25
     164.063	          70	          N1	           5	   neutralLargeDark	vp25
     222.656	          70	          N1	           6	   neutralSmallDark	vp25
     171.875	          70	          N1	           7	 neutralLargeBright	vp25
     191.406	          70	          N1	           8	 neutralSmallBright	vp25
     203.125	          70	          N1	           1	  negativeLargeDark	vp26
     183.594	          70	          N1	           2	  negativeSmallDark	vp26
     234.375	          70	          N1	           3	negativeLargeBright	vp26
     179.688	          70	          N1	           4	negativeSmallBright	vp26
     183.594	          70	          N1	           5	   neutralLargeDark	vp26
     214.844	          70	          N1	           6	   neutralSmallDark	vp26
     222.656	          70	          N1	           7	 neutralLargeBright	vp26
     234.375	          70	          N1	           8	 neutralSmallBright	vp26
     179.688	          70	          N1	           1	  negativeLargeDark	vp27
     203.125	          70	          N1	           2	  negativeSmallDark	vp27
     234.375	          70	          N1	           3	negativeLargeBright	vp27
     261.719	          70	          N1	           4	negativeSmallBright	vp27
     183.594	          70	          N1	           5	   neutralLargeDark	vp27
     199.219	          70	          N1	           6	   neutralSmallDark	vp27
     222.656	          70	          N1	           7	 neutralLargeBright	vp27
     175.781	          70	          N1	           8	 neutralSmallBright	vp27
     199.219	          70	          N1	           1	  negativeLargeDark	vp28
     210.938	          70	          N1	           2	  negativeSmallDark	vp28
     253.906	          70	          N1	           3	negativeLargeBright	vp28
     203.125	          70	          N1	           4	negativeSmallBright	vp28
     203.125	          70	          N1	           5	   neutralLargeDark	vp28
     214.844	          70	          N1	           6	   neutralSmallDark	vp28
     238.281	          70	          N1	           7	 neutralLargeBright	vp28
     210.938	          70	          N1	           8	 neutralSmallBright	vp28
     148.438	          70	          N1	           1	  negativeLargeDark	vp29
     160.156	          70	          N1	           2	  negativeSmallDark	vp29
     175.781	          70	          N1	           3	negativeLargeBright	vp29
     261.719	          70	          N1	           4	negativeSmallBright	vp29
     148.438	          70	          N1	           5	   neutralLargeDark	vp29
     156.250	          70	          N1	           6	   neutralSmallDark	vp29
     179.688	          70	          N1	           7	 neutralLargeBright	vp29
     218.750	          70	          N1	           8	 neutralSmallBright	vp29
     203.125	          70	          N1	           1	  negativeLargeDark	vp31
     207.031	          70	          N1	           2	  negativeSmallDark	vp31
     222.656	          70	          N1	           3	negativeLargeBright	vp31
     191.406	          70	          N1	           4	negativeSmallBright	vp31
     203.125	          70	          N1	           5	   neutralLargeDark	vp31
     203.125	          70	          N1	           6	   neutralSmallDark	vp31
     226.563	          70	          N1	           7	 neutralLargeBright	vp31
     148.438	          70	          N1	           8	 neutralSmallBright	vp31
     164.063	          70	          N1	           1	  negativeLargeDark	vp33
     246.094	          70	          N1	           2	  negativeSmallDark	vp33
     238.281	          70	          N1	           3	negativeLargeBright	vp33
     261.719	          70	          N1	           4	negativeSmallBright	vp33
     222.656	          70	          N1	           5	   neutralLargeDark	vp33
     238.281	          70	          N1	           6	   neutralSmallDark	vp33
     246.094	          70	          N1	           7	 neutralLargeBright	vp33
     160.156	          70	          N1	           8	 neutralSmallBright	vp33
     160.156	          70	          N1	           1	  negativeLargeDark	vp34
     218.750	          70	          N1	           2	  negativeSmallDark	vp34
     187.500	          70	          N1	           3	negativeLargeBright	vp34
     207.031	          70	          N1	           4	negativeSmallBright	vp34
     207.031	          70	          N1	           5	   neutralLargeDark	vp34
     171.875	          70	          N1	           6	   neutralSmallDark	vp34
     195.313	          70	          N1	           7	 neutralLargeBright	vp34
     257.813	          70	          N1	           8	 neutralSmallBright	vp34
     152.344	          70	          N1	           1	  negativeLargeDark	vp35
     218.750	          70	          N1	           2	  negativeSmallDark	vp35
     210.938	          70	          N1	           3	negativeLargeBright	vp35
