       value	     chindex	     chlabel	        bini	           binlabel	ERPset
       1.454	          65	 P1_massUniv	           2	  negativeSmallDark	vp11
       1.390	          65	 P1_massUniv	           3	negativeLargeBright	vp11
       1.153	          65	 P1_massUniv	           4	negativeSmallBright	vp11
       2.054	          65	 P1_massUniv	           5	   neutralLargeDark	vp11
       1.136	          65	 P1_massUniv	           6	   neutralSmallDark	vp11
       2.153	          65	 P1_massUniv	           7	 neutralLargeBright	vp11
       1.574	          65	 P1_massUniv	           8	 neutralSmallBright	vp11
       4.379	          65	 P1_massUniv	           1	  negativeLargeDark	vp12
       3.439	          65	 P1_massUniv	           2	  negativeSmallDark	vp12
       3.851	          65	 P1_massUniv	           3	negativeLargeBright	vp12
       1.329	          65	 P1_massUniv	           4	negativeSmallBright	vp12
       4.087	          65	 P1_massUniv	           5	   neutralLargeDark	vp12
       2.754	          65	 P1_massUniv	           6	   neutralSmallDark	vp12
       3.207	          65	 P1_massUniv	           7	 neutralLargeBright	vp12
       1.818	          65	 P1_massUniv	           8	 neutralSmallBright	vp12
       0.849	          65	 P1_massUniv	           1	  negativeLargeDark	vp13
       2.329	          65	 P1_massUniv	           2	  negativeSmallDark	vp13
       3.308	          65	 P1_massUniv	           3	negativeLargeBright	vp13
       5.093	          65	 P1_massUniv	           4	negativeSmallBright	vp13
       0.864	          65	 P1_massUniv	           5	   neutralLargeDark	vp13
       2.154	          65	 P1_massUniv	           6	   neutralSmallDark	vp13
       4.028	          65	 P1_massUniv	           7	 neutralLargeBright	vp13
       4.363	          65	 P1_massUniv	           8	 neutralSmallBright	vp13
       2.791	          65	 P1_massUniv	           1	  negativeLargeDark	vp14
       2.129	          65	 P1_massUniv	           2	  negativeSmallDark	vp14
       1.429	          65	 P1_massUniv	           3	negativeLargeBright	vp14
      -0.137	          65	 P1_massUniv	           4	negativeSmallBright	vp14
       3.595	          65	 P1_massUniv	           5	   neutralLargeDark	vp14
       2.307	          65	 P1_massUniv	           6	   neutralSmallDark	vp14
       1.221	          65	 P1_massUniv	           7	 neutralLargeBright	vp14
       0.930	          65	 P1_massUniv	           8	 neutralSmallBright	vp14
       3.222	          65	 P1_massUniv	           1	  negativeLargeDark	vp15
       2.789	          65	 P1_massUniv	           2	  negativeSmallDark	vp15
       2.637	          65	 P1_massUniv	           3	negativeLargeBright	vp15
       0.782	          65	 P1_massUniv	           4	negativeSmallBright	vp15
       3.149	          65	 P1_massUniv	           5	   neutralLargeDark	vp15
       2.731	          65	 P1_massUniv	           6	   neutralSmallDark	vp15
       3.069	          65	 P1_massUniv	           7	 neutralLargeBright	vp15
       0.319	          65	 P1_massUniv	           8	 neutralSmallBright	vp15
       2.596	          65	 P1_massUniv	           1	  negativeLargeDark	vp16
       1.768	          65	 P1_massUniv	           2	  negativeSmallDark	vp16
       1.600	          65	 P1_massUniv	           3	negativeLargeBright	vp16
       0.773	          65	 P1_massUniv	           4	negativeSmallBright	vp16
       2.480	          65	 P1_massUniv	           5	   neutralLargeDark	vp16
       2.344	          65	 P1_massUniv	           6	   neutralSmallDark	vp16
       2.458	          65	 P1_massUniv	           7	 neutralLargeBright	vp16
       0.577	          65	 P1_massUniv	           8	 neutralSmallBright	vp16
       2.600	          65	 P1_massUniv	           1	  negativeLargeDark	vp17
       3.471	          65	 P1_massUniv	           2	  negativeSmallDark	vp17
       3.688	          65	 P1_massUniv	           3	negativeLargeBright	vp17
       1.990	          65	 P1_massUniv	           4	negativeSmallBright	vp17
       2.455	          65	 P1_massUniv	           5	   neutralLargeDark	vp17
       2.806	          65	 P1_massUniv	           6	   neutralSmallDark	vp17
       2.125	          65	 P1_massUniv	           7	 neutralLargeBright	vp17
       1.876	          65	 P1_massUniv	           8	 neutralSmallBright	vp17
       2.788	          65	 P1_massUniv	           1	  negativeLargeDark	vp18
       3.454	          65	 P1_massUniv	           2	  negativeSmallDark	vp18
       2.943	          65	 P1_massUniv	           3	negativeLargeBright	vp18
       0.518	          65	 P1_massUniv	           4	negativeSmallBright	vp18
       2.438	          65	 P1_massUniv	           5	   neutralLargeDark	vp18
       3.001	          65	 P1_massUniv	           6	   neutralSmallDark	vp18
       1.986	          65	 P1_massUniv	           7	 neutralLargeBright	vp18
       1.827	          65	 P1_massUniv	           8	 neutralSmallBright	vp18
       2.727	          65	 P1_massUniv	           1	  negativeLargeDark	vp19
       1.272	          65	 P1_massUniv	           2	  negativeSmallDark	vp19
       3.180	          65	 P1_massUniv	           3	negativeLargeBright	vp19
       0.793	          65	 P1_massUniv	           4	negativeSmallBright	vp19
       2.161	          65	 P1_massUniv	           5	   neutralLargeDark	vp19
       0.828	          65	 P1_massUniv	           6	   neutralSmallDark	vp19
       2.483	          65	 P1_massUniv	           7	 neutralLargeBright	vp19
       0.835	          65	 P1_massUniv	           8	 neutralSmallBright	vp19
       3.080	          65	 P1_massUniv	           1	  negativeLargeDark	vp20
       2.098	          65	 P1_massUniv	           2	  negativeSmallDark	vp20
       2.516	          65	 P1_massUniv	           3	negativeLargeBright	vp20
      -0.613	          65	 P1_massUniv	           4	negativeSmallBright	vp20
       2.459	          65	 P1_massUniv	           5	   neutralLargeDark	vp20
       2.297	          65	 P1_massUniv	           6	   neutralSmallDark	vp20
       0.385	          65	 P1_massUniv	           7	 neutralLargeBright	vp20
       1.168	          65	 P1_massUniv	           8	 neutralSmallBright	vp20
       0.089	          65	 P1_massUniv	           1	  negativeLargeDark	vp21
       0.672	          65	 P1_massUniv	           2	  negativeSmallDark	vp21
       0.839	          65	 P1_massUniv	           3	negativeLargeBright	vp21
       1.135	          65	 P1_massUniv	           4	negativeSmallBright	vp21
       0.560	          65	 P1_massUniv	           5	   neutralLargeDark	vp21
       1.070	          65	 P1_massUniv	           6	   neutralSmallDark	vp21
       0.300	          65	 P1_massUniv	           7	 neutralLargeBright	vp21
       0.865	          65	 P1_massUniv	           8	 neutralSmallBright	vp21
       3.054	          65	 P1_massUniv	           1	  negativeLargeDark	vp22
       1.598	          65	 P1_massUniv	           2	  negativeSmallDark	vp22
       1.696	          65	 P1_massUniv	           3	negativeLargeBright	vp22
       0.128	          65	 P1_massUniv	           4	negativeSmallBright	vp22
       2.260	          65	 P1_massUniv	           5	   neutralLargeDark	vp22
       1.678	          65	 P1_massUniv	           6	   neutralSmallDark	vp22
       1.103	          65	 P1_massUniv	           7	 neutralLargeBright	vp22
       0.346	          65	 P1_massUniv	           8	 neutralSmallBright	vp22
       3.151	          65	 P1_massUniv	           1	  negativeLargeDark	vp23
       3.397	          65	 P1_massUniv	           2	  negativeSmallDark	vp23
       2.925	          65	 P1_massUniv	           3	negativeLargeBright	vp23
       1.124	          65	 P1_massUniv	           4	negativeSmallBright	vp23
       3.808	          65	 P1_massUniv	           5	   neutralLargeDark	vp23
       1.585	          65	 P1_massUniv	           6	   neutralSmallDark	vp23
       2.847	          65	 P1_massUniv	           7	 neutralLargeBright	vp23
       0.642	          65	 P1_massUniv	           8	 neutralSmallBright	vp23
       3.579	          65	 P1_massUniv	           1	  negativeLargeDark	vp24
       3.390	          65	 P1_massUniv	           2	  negativeSmallDark	vp24
       3.770	          65	 P1_massUniv	           3	negativeLargeBright	vp24
       0.654	          65	 P1_massUniv	           4	negativeSmallBright	vp24
       4.242	          65	 P1_massUniv	           5	   neutralLargeDark	vp24
       3.567	          65	 P1_massUniv	           6	   neutralSmallDark	vp24
       4.539	          65	 P1_massUniv	           7	 neutralLargeBright	vp24
       0.543	          65	 P1_massUniv	           8	 neutralSmallBright	vp24
       3.408	          65	 P1_massUniv	           1	  negativeLargeDark	vp25
       5.264	          65	 P1_massUniv	           2	  negativeSmallDark	vp25
       4.928	          65	 P1_massUniv	           3	negativeLargeBright	vp25
       2.884	          65	 P1_massUniv	           4	negativeSmallBright	vp25
       4.962	          65	 P1_massUniv	           5	   neutralLargeDark	vp25
       3.539	          65	 P1_massUniv	           6	   neutralSmallDark	vp25
       4.894	          65	 P1_massUniv	           7	 neutralLargeBright	vp25
       0.533	          65	 P1_massUniv	           8	 neutralSmallBright	vp25
      -0.676	          65	 P1_massUniv	           1	  negativeLargeDark	vp26
       0.606	          65	 P1_massUniv	           2	  negativeSmallDark	vp26
       0.840	          65	 P1_massUniv	           3	negativeLargeBright	vp26
       0.699	          65	 P1_massUniv	           4	negativeSmallBright	vp26
       0.900	          65	 P1_massUniv	           5	   neutralLargeDark	vp26
       0.697	          65	 P1_massUniv	           6	   neutralSmallDark	vp26
       0.686	          65	 P1_massUniv	           7	 neutralLargeBright	vp26
       1.011	          65	 P1_massUniv	           8	 neutralSmallBright	vp26
       2.875	          65	 P1_massUniv	           1	  negativeLargeDark	vp27
       2.668	          65	 P1_massUniv	           2	  negativeSmallDark	vp27
       2.106	          65	 P1_massUniv	           3	negativeLargeBright	vp27
       0.009	          65	 P1_massUniv	           4	negativeSmallBright	vp27
       3.294	          65	 P1_massUniv	           5	   neutralLargeDark	vp27
       2.178	          65	 P1_massUniv	           6	   neutralSmallDark	vp27
       2.434	          65	 P1_massUniv	           7	 neutralLargeBright	vp27
       0.255	          65	 P1_massUniv	           8	 neutralSmallBright	vp27
       5.319	          65	 P1_massUniv	           1	  negativeLargeDark	vp28
       3.466	          65	 P1_massUniv	           2	  negativeSmallDark	vp28
       2.974	          65	 P1_massUniv	           3	negativeLargeBright	vp28
       1.451	          65	 P1_massUniv	           4	negativeSmallBright	vp28
       5.896	          65	 P1_massUniv	           5	   neutralLargeDark	vp28
       3.566	          65	 P1_massUniv	           6	   neutralSmallDark	vp28
       4.746	          65	 P1_massUniv	           7	 neutralLargeBright	vp28
       0.567	          65	 P1_massUniv	           8	 neutralSmallBright	vp28
       2.664	          65	 P1_massUniv	           1	  negativeLargeDark	vp29
       0.743	          65	 P1_massUniv	           2	  negativeSmallDark	vp29
       3.217	          65	 P1_massUniv	           3	negativeLargeBright	vp29
