       value	     chindex	     chlabel	        bini	           binlabel	ERPset
     378.906	          67	EPN_massUniv	           3	negativeLargeBright	vp11
     402.344	          67	EPN_massUniv	           4	negativeSmallBright	vp11
     394.531	          67	EPN_massUniv	           5	   neutralLargeDark	vp11
     398.438	          67	EPN_massUniv	           6	   neutralSmallDark	vp11
     289.063	          67	EPN_massUniv	           7	 neutralLargeBright	vp11
     308.594	          67	EPN_massUniv	           8	 neutralSmallBright	vp11
     386.719	          67	EPN_massUniv	           1	  negativeLargeDark	vp12
     332.031	          67	EPN_massUniv	           2	  negativeSmallDark	vp12
     402.344	          67	EPN_massUniv	           3	negativeLargeBright	vp12
     394.531	          67	EPN_massUniv	           4	negativeSmallBright	vp12
     312.500	          67	EPN_massUniv	           5	   neutralLargeDark	vp12
     332.031	          67	EPN_massUniv	           6	   neutralSmallDark	vp12
     332.031	          67	EPN_massUniv	           7	 neutralLargeBright	vp12
     382.813	          67	EPN_massUniv	           8	 neutralSmallBright	vp12
     398.438	          67	EPN_massUniv	           1	  negativeLargeDark	vp13
     343.750	          67	EPN_massUniv	           2	  negativeSmallDark	vp13
     351.563	          67	EPN_massUniv	           3	negativeLargeBright	vp13
     324.219	          67	EPN_massUniv	           4	negativeSmallBright	vp13
     398.438	          67	EPN_massUniv	           5	   neutralLargeDark	vp13
     335.938	          67	EPN_massUniv	           6	   neutralSmallDark	vp13
     402.344	          67	EPN_massUniv	           7	 neutralLargeBright	vp13
     402.344	          67	EPN_massUniv	           8	 neutralSmallBright	vp13
     386.719	          67	EPN_massUniv	           1	  negativeLargeDark	vp14
     382.813	          67	EPN_massUniv	           2	  negativeSmallDark	vp14
     398.438	          67	EPN_massUniv	           3	negativeLargeBright	vp14
     304.688	          67	EPN_massUniv	           4	negativeSmallBright	vp14
     375.000	          67	EPN_massUniv	           5	   neutralLargeDark	vp14
     386.719	          67	EPN_massUniv	           6	   neutralSmallDark	vp14
     402.344	          67	EPN_massUniv	           7	 neutralLargeBright	vp14
     300.781	          67	EPN_massUniv	           8	 neutralSmallBright	vp14
     328.125	          67	EPN_massUniv	           1	  negativeLargeDark	vp15
     339.844	          67	EPN_massUniv	           2	  negativeSmallDark	vp15
     355.469	          67	EPN_massUniv	           3	negativeLargeBright	vp15
     355.469	          67	EPN_massUniv	           4	negativeSmallBright	vp15
     335.938	          67	EPN_massUniv	           5	   neutralLargeDark	vp15
     367.188	          67	EPN_massUniv	           6	   neutralSmallDark	vp15
     363.281	          67	EPN_massUniv	           7	 neutralLargeBright	vp15
     332.031	          67	EPN_massUniv	           8	 neutralSmallBright	vp15
     359.375	          67	EPN_massUniv	           1	  negativeLargeDark	vp16
     402.344	          67	EPN_massUniv	           2	  negativeSmallDark	vp16
     281.250	          67	EPN_massUniv	           3	negativeLargeBright	vp16
     296.875	          67	EPN_massUniv	           4	negativeSmallBright	vp16
     281.250	          67	EPN_massUniv	           5	   neutralLargeDark	vp16
     402.344	          67	EPN_massUniv	           6	   neutralSmallDark	vp16
     289.063	          67	EPN_massUniv	           7	 neutralLargeBright	vp16
     289.063	          67	EPN_massUniv	           8	 neutralSmallBright	vp16
     371.094	          67	EPN_massUniv	           1	  negativeLargeDark	vp17
     386.719	          67	EPN_massUniv	           2	  negativeSmallDark	vp17
     328.125	          67	EPN_massUniv	           3	negativeLargeBright	vp17
     367.188	          67	EPN_massUniv	           4	negativeSmallBright	vp17
     394.531	          67	EPN_massUniv	           5	   neutralLargeDark	vp17
     382.813	          67	EPN_massUniv	           6	   neutralSmallDark	vp17
     355.469	          67	EPN_massUniv	           7	 neutralLargeBright	vp17
     292.969	          67	EPN_massUniv	           8	 neutralSmallBright	vp17
     367.188	          67	EPN_massUniv	           1	  negativeLargeDark	vp18
     382.813	          67	EPN_massUniv	           2	  negativeSmallDark	vp18
     398.438	          67	EPN_massUniv	           3	negativeLargeBright	vp18
     312.500	          67	EPN_massUniv	           4	negativeSmallBright	vp18
     367.188	          67	EPN_massUniv	           5	   neutralLargeDark	vp18
     300.781	          67	EPN_massUniv	           6	   neutralSmallDark	vp18
     394.531	          67	EPN_massUniv	           7	 neutralLargeBright	vp18
     320.313	          67	EPN_massUniv	           8	 neutralSmallBright	vp18
     394.531	          67	EPN_massUniv	           1	  negativeLargeDark	vp19
     402.344	          67	EPN_massUniv	           2	  negativeSmallDark	vp19
     398.438	          67	EPN_massUniv	           3	negativeLargeBright	vp19
     281.250	          67	EPN_massUniv	           4	negativeSmallBright	vp19
